gluserid,First_Paid_Service,Todays Date,Tenurity_in_days,Mode,isdownloaded,company_name,query_execution_date,approved_products,mapped_mcats,turnover,gst,nob,state,total_bl_pur,last_3m_bl_pur,last_15_days_bl_pur,total_enq,last_3_month_enq,Total_enq_reply,reply_to_unique_sender,last_90_days_reply_to_unique_sender,last_3_month_irrelevent,bl_ni,total_tickets,deactivation_tickets,amount_paid_till_date,amount_paid_last_3_months,location_preference,MDC,Maxi,LSSS,PL,TS,Website,Zone
905787,06-12-2013,01-10-2018,1760,Annual,0,Bagga Auto Sales,18-Jun-22,65,49,Rs. 50 Lakh - 1 Crore,Y,Exporter,Punjab,143,0,0,1383,633,2,2,1,0,0,1,0,165500.01,0,India,Yes,No,No,No,No,No,3
905792,06-07-2018,01-10-2018,87,Annual,0,Sowgath Plastic Enterprises,19-Jun-22,21,24,Rs. 1 - 2 Crore,Y,Wholesale Trader,Tamil Nadu,33,33,12,205,175,45,31,31,0,0,1,0,29500,29500,Local,Yes,No,No,No,No,No,1
905890,21-12-2017,01-10-2018,284,Annual,0,Sparco Products,20-Jun-22,69,16,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,58,2,0,1438,462,406,210,9,0,0,0,0,344654.2,31550,India,Yes,No,No,No,No,No,2
906127,19-09-2015,01-10-2018,1108,Annual,0,Asiad Optical Co.,21-Jun-22,39,9,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Maharashtra,593,42,8,527,205,324,262,12,1,76,3,0,145560,0,Global,Yes,No,No,No,Yes,No,2
906281,26-03-2010,01-10-2018,3111,Annual,0,Apollo Machinery,23-Jun-22,37,12,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,1116,266,36,206,113,42,42,38,2,3,12,0,2576142.5,1448144,India,Yes,Yes,Yes,No,Yes,No,1
906295,14-10-2011,01-10-2018,2544,Annual,0,Uma Shankar Engineers,24-Jun-22,103,93,Rs. 50 Lakh - 1 Crore,Y,Exporter,Delhi,542,39,5,737,262,1,1,1,5,3,8,0,387274.2,0,India,Yes,No,No,No,No,No,1
906590,26-03-2018,01-10-2018,189,Annual,0,Shankar Polymer Private Limited,26-Jun-22,36,31,Rs. 10 - 25 Crore,Y,Manufacturer,Delhi,76,15,2,531,199,20,14,2,0,0,11,0,261800,188800,India,No,Yes,No,No,Yes,No,3
906784,19-01-2009,01-10-2018,3542,Annual,0,Sai Paradise Machine Tools,27-Jun-22,34,20,Rs. 10 - 25 Crore,Y,Manufacturer,Telangana,580,78,3,1156,570,19,16,4,0,0,9,0,3802368.8,123900,India,No,Yes,Yes,No,Yes,No,1
906800,25-03-2016,01-10-2018,920,Annual,0,Bit & Byte Technosys Private Limited,28-Jun-22,21,21,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Telangana,711,197,49,996,525,28,22,14,0,0,8,0,344258,274350,India,Yes,No,Yes,No,Yes,No,3
906813,16-11-2013,01-10-2018,1780,Annual,0,Champion Filters Manufacturing Company,29-Jun-22,56,33,Rs. 2 - 5 Crore,Y,Manufacturer,Andhra Pradesh,410,46,8,266,103,66,61,1,1,6,7,0,199650.01,79650,Global,Yes,No,No,No,Yes,No,1
906892,31-12-2012,01-10-2018,2100,Annual,0,Everon Impex,30-Jun-22,49,51,Rs. 5 - 10 Crore,Y,Manufacturer,Tamil Nadu,2226,341,0,4690,1887,586,537,159,0,0,13,0,1693070.8,358950,India,No,Yes,No,Yes,Yes,No,4
907027,06-02-2010,01-10-2018,3159,Annual,0,Shri Hari Industries,03-Jul-22,122,92,Rs. 5 - 10 Crore,Y,Manufacturer,Delhi,652,131,34,4211,1726,12,11,2,0,0,16,0,4850001.6,8850,India,No,Yes,Yes,Yes,Yes,No,2
907244,05-11-2009,01-10-2018,3252,Annual,0,Karani Papers,06-Jul-22,51,46,Rs. 25 - 50 Crore,Y,Manufacturer,Maharashtra,1405,176,45,4573,1995,3419,2721,291,0,0,10,0,3142613,2007475,Global,No,Yes,Yes,Yes,Yes,No,4
907264,19-03-2015,01-10-2018,1292,Annual,0,Hindustan Power Instruments Private Limited,07-Jul-22,22,15,Rs. 25 - 50 Crore,Y,Manufacturer,Haryana,1370,158,17,833,504,43,43,2,0,0,1,0,272189.11,93810,Global,Yes,No,No,No,Yes,No,4
907275,29-07-2013,01-10-2018,1890,Annual,0,S. M. Enterprise,08-Jul-22,141,101,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Maharashtra,1620,219,45,2151,969,1176,1028,331,5,3,22,0,624052.74,177000,Global,No,Yes,No,No,Yes,No,3
907578,02-06-2015,01-10-2018,1217,Annual,0,Voltsafe Engineering Corporation,10-Jul-22,63,29,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Uttar Pradesh,399,14,4,494,241,17,15,2,0,2,6,0,1056411.43,59000,India,No,Yes,No,No,Yes,No,3
907591,23-02-2016,01-10-2018,951,Annual,0,Dee Kay Engineers,11-Jul-22,24,15,Rs. 2 - 5 Crore,Y,Manufacturer,Haryana,137,8,1,393,169,11,8,0,0,0,5,0,65999.11,53985,India,Yes,No,No,No,No,No,1
907760,12-06-2014,01-10-2018,1572,Annual,0,Sri Balaji Motors,13-Jul-22,10,6,Rs. 2 - 5 Crore,Y,Exporter,Telangana,369,11,3,328,140,12,11,1,0,0,3,0,150500,29500,India,Yes,No,No,No,No,No,2
907802,26-08-2013,01-10-2018,1862,Annual,0,D. M. Engineering Company,14-Jul-22,96,103,Rs. 2 - 5 Crore,Y,Manufacturer,Punjab,783,115,24,1071,556,314,261,7,0,1,5,0,268986,0,India,Yes,No,No,No,Yes,No,1
907966,08-10-2010,01-10-2018,2915,Annual,0,Sett Dey & Co. Homoeo Lab,15-Jul-22,32,19,Rs. 2 - 5 Crore,N,Exporter,West Bengal,20,0,0,868,333,0,0,0,0,0,1,0,339229,0,India,Yes,No,No,No,No,No,4
908150,28-05-2011,01-10-2018,2683,Annual,0,Pragati Plastic Industries,17-Jul-22,4,5,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Gujarat,724,37,13,222,96,209,186,5,0,0,0,0,298712.25,0,Global,Yes,No,No,No,Yes,No,1
908159,25-05-2010,01-10-2018,3051,Annual,0,Admark Digitek Private Limited,18-Jul-22,32,24,Rs. 50 - 100 Crore,Y,Manufacturer,Maharashtra,847,146,30,1565,728,6,6,1,0,0,3,0,451145.19,141600,India,Yes,No,No,No,Yes,No,2
908166,25-05-2011,01-10-2018,2686,Annual,0,Meta Tubex Private Limited,19-Jul-22,26,11,Rs. 10 - 25 Crore,Y,Manufacturer,Madhya Pradesh,916,22,4,860,347,50,48,0,0,1,6,0,1279308.23,0,Global,No,Yes,No,No,Yes,No,1
908292,27-07-2016,01-10-2018,796,Annual,0,Walia International Machines Corporation,20-Jul-22,27,46,Rs. 5 - 10 Crore,Y,Manufacturer,Delhi,1116,368,81,2370,990,11,8,5,0,10,27,0,611052,543035,Global,No,No,Yes,No,Yes,No,4
908297,31-10-2014,01-10-2018,1431,Annual,0,Sumair Industrial Corporation,21-Jul-22,48,51,Rs. 2 - 5 Crore,Y,Manufacturer,Telangana,158,23,2,307,101,22,17,10,0,3,4,0,76280,0,Local,Yes,No,No,No,No,No,1
908352,17-10-2015,01-10-2018,1080,Annual,0,Uttaranchal Metals Private Limited,22-Jul-22,20,15,Rs. 10 - 25 Crore,Y,Manufacturer,Delhi,531,44,8,721,343,2,2,0,0,0,6,0,121905.2,0,India,Yes,No,No,No,No,No,2
908857,17-11-2010,01-10-2018,2875,Annual,0,Shree Laxmi Lifestyles,23-Jul-22,25,37,Rs. 50 - 100 Crore,Y,Manufacturer,Gujarat,282,38,5,1381,556,746,682,159,1,0,13,0,250613.21,70800,India,Yes,No,No,No,Yes,No,4
909037,01-12-2009,01-10-2018,3226,Annual,0,Uttar Pradesh Engineering Company,24-Jul-22,22,27,Rs. 2 - 5 Crore,Y,Manufacturer,Uttar Pradesh,23,0,0,114,48,1,1,0,0,0,1,0,929828.4,1416,India,No,Yes,No,No,Yes,No,4
909039,13-01-2017,01-10-2018,626,Annual,0,DNB Powersol,25-Jul-22,20,6,Upto Rs. 50 Lakh,Y,Authorized Retail Dealer,Maharashtra,877,150,18,1330,759,1,1,0,0,0,8,0,160395.75,110254,Local,Yes,No,No,No,Yes,No,1
909091,31-03-2010,01-10-2018,3106,Annual,0,"Prakash Packaging, Ghaziabad",26-Jul-22,26,19,Rs. 2 - 5 Crore,Y,Manufacturer,Uttar Pradesh,28,0,0,458,120,8,7,0,0,0,3,0,1236697.4,177000,Local,No,Yes,No,No,Yes,No,2
909292,21-01-2011,01-10-2018,2810,Annual,0,Special Washers (india) Private Limited,29-Jul-22,16,19,Rs. 5 - 10 Crore,Y,Manufacturer,Haryana,263,49,4,128,50,148,139,11,0,0,3,0,184987.2,29500,India,Yes,No,No,No,No,No,1
909390,04-06-2015,01-10-2018,1215,Annual,0,K Natuer Blossoms Pharmacueticals,30-Jul-22,26,26,Rs. 2 - 5 Crore,Y,Manufacturer,Punjab,35,2,0,1025,429,43,41,0,0,0,3,0,594663.21,177000,India,No,Yes,No,No,Yes,No,2
909440,19-11-2015,01-10-2018,1047,Monthly,0,Super Metal Industries,31-Jul-22,35,21,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,416,59,10,469,205,284,277,1,0,2,8,0,100250,14000,India,Yes,No,No,No,No,No,1
909791,07-06-2010,01-10-2018,3038,Annual,0,Indo Technologies,02-Aug-22,186,131,Rs. 2 - 5 Crore,Y,Wholesale Distributor,Delhi,2255,233,61,3356,1292,715,582,22,0,13,29,0,2589037.39,0,Local,No,Yes,Yes,No,Yes,No,3
909869,22-07-2017,01-10-2018,436,Annual,0,Durrant Packagers (India) Pvt. Ltd.,03-Aug-22,28,23,Rs. 5 - 10 Crore,Y,Manufacturer,Madhya Pradesh,1250,239,40,2084,1133,1516,1449,472,0,0,10,0,488500,371025,India,Yes,Yes,No,No,Yes,No,3
909966,31-10-2013,01-10-2018,1796,Annual,0,Mikrofine Toolings Private Limited,04-Aug-22,33,17,Rs. 5 - 10 Crore,Y,Manufacturer,Haryana,390,54,9,344,122,199,110,6,0,0,2,0,188550.01,0,Global,Yes,No,No,No,No,No,1
909985,16-09-2010,01-10-2018,2937,Annual,0,Dutron Sinterplast,05-Aug-22,9,6,Rs. 1 - 2 Crore,Y,Manufacturer,Gujarat,794,80,14,1028,458,0,0,0,0,0,7,0,317715.4,88329,India,Yes,No,No,No,Yes,No,1
910083,24-01-2014,01-10-2018,1711,Annual,0,Gangotri Inorganic Private Limited,06-Aug-22,45,21,Rs. 50 - 100 Crore,Y,Manufacturer,Gujarat,960,76,11,1111,437,361,279,255,0,2,22,0,2585574.01,1098215,Global,No,Yes,Yes,No,Yes,No,3
910175,15-10-2012,01-10-2018,2177,Annual,0,Mpee Kitchenette Private Limited,07-Aug-22,34,28,Rs. 10 - 25 Crore,Y,Manufacturer,Karnataka,294,15,5,1303,576,40,35,1,0,0,11,0,369806,0,India,Yes,No,No,No,Yes,No,2
910230,28-03-2009,01-10-2018,3474,Annual,0,Prakash Engitech Private Limited,08-Aug-22,21,17,Rs. 5 - 10 Crore,Y,Manufacturer,Gujarat,3385,570,84,2489,1254,11264,6113,917,8,52,36,0,2468434.75,1484676,India,No,Yes,Yes,No,Yes,No,1
910331,02-07-2013,01-10-2018,1917,Annual,0,Raj Electricals,09-Aug-22,56,24,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,3109,520,88,3934,1757,65,55,27,0,0,33,1,3081351.04,682552,Global,No,Yes,Yes,Yes,Yes,No,3
910470,18-08-2017,01-10-2018,409,Annual,0,Khushi Graphics,12-Aug-22,30,63,Rs. 5 - 10 Crore,Y,Wholesale Trader,Delhi,454,94,20,2838,1390,47,44,19,0,0,7,0,479914.1,177531,India,No,Yes,No,No,Yes,No,2
910540,14-03-2012,01-10-2018,2392,Monthly,0,Sunrise Tooling Systems Private Limited,13-Aug-22,57,60,Rs. 5 - 10 Crore,Y,Manufacturer,Haryana,591,68,13,562,188,277,265,0,0,0,4,0,100250,14000,Local,Yes,No,No,No,No,No,2
910698,18-03-2009,01-10-2018,3484,Annual,0,Nox India Corporation,14-Aug-22,96,40,Rs. 10 - 25 Crore,Y,Exporter,Gujarat,1541,290,56,1821,826,39,34,0,0,0,19,0,1617969.24,0,India,No,Yes,Yes,No,Yes,No,3
910814,19-12-2012,01-10-2018,2112,Annual,0,Fact Systems,16-Aug-22,40,42,Rs. 2 - 5 Crore,Y,Wholesale Supplier,Telangana,63,0,0,1003,336,21,21,0,0,0,1,0,872560,460200,India,Yes,No,No,No,No,No,1
910884,29-06-2017,01-10-2018,459,Annual,0,Engravers (India),17-Aug-22,29,7,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Delhi,200,2,1,288,114,8,5,1,0,3,14,0,665297.2,398250,India,Yes,Yes,No,No,Yes,No,2
911133,13-11-2010,01-10-2018,2879,Annual,0,Carboline Toolings India Private Limited,20-Aug-22,53,31,Rs. 2 - 5 Crore,Y,Manufacturer,Telangana,1239,164,31,1068,521,10,10,0,0,0,4,0,459597.82,5900,India,Yes,No,No,No,Yes,No,3
911229,26-06-2013,01-10-2018,1923,Annual,0,Shah Expansion Joints (Bellows) Manufacturers,22-Aug-22,29,28,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,249,0,0,57,20,10,9,0,0,0,6,0,990416.41,720354,India,Yes,No,Yes,No,Yes,No,1
911285,29-05-2010,01-10-2018,3047,Monthly,0,Modern Enterprises,23-Aug-22,36,38,Rs. 50 Lakh - 1 Crore,Y,Wholesale Supplier,Maharashtra,680,74,9,958,241,140,129,1,0,0,2,0,100250,14000,India,Yes,No,No,No,No,No,2
911298,07-06-2014,01-10-2018,1577,Annual,0,Sanchit Silk Mills,24-Aug-22,61,39,Upto Rs. 50 Lakh,Y,Manufacturer,Delhi,719,126,2,1368,725,55,48,1,0,3,4,0,170398.2,0,India,Yes,No,No,No,Yes,No,4
