gluserid,First_Paid_Service,Todays Date,Tenurity_in_days,Mode,isdownloaded,company_name,query_execution_date,approved_products,mapped_mcats,turnover,gst,nob,state,total_bl_pur,last_3m_bl_pur,last_15_days_bl_pur,total_enq,last_3_month_enq,Total_enq_reply,reply_to_unique_sender,last_90_days_reply_to_unique_sender,last_3_month_irrelevent,bl_ni,total_tickets,deactivation_tickets,amount_paid_till_date,amount_paid_last_3_months,location_preference,MDC,Maxi,LSSS,PL,TS,Website,Zone
19992,03-05-2017,01-10-2018,516,Annual,1,Lakshmi Industrial Automation,14-Aug-18,53,49,Rs. 2 - 5 Crore,Y,Manufacturer,Tamil Nadu,1083,49,0,455,187,11,11,4,0,0,22,0,536332.02,32332,India,Yes,No,No,No,No,No,3
31203,08-06-2011,01-10-2018,2672,Annual,1,Hitek Automation,14-Aug-18,55,41,Rs. 5 - 10 Crore,Y,Wholesale Trader,Tamil Nadu,546,163,57,684,334,205,172,75,0,2,13,0,1275778.8,460200,India,No,No,Yes,No,No,No,3
32577,10-12-2010,01-10-2018,2852,Annual,1,Imaan Impex,14-Aug-18,41,24,Rs. 10 - 25 Crore,Y,Exporter,Tamil Nadu,574,20,0,940,303,21,20,1,0,0,14,2,2516217.91,731200,Global,No,Yes,No,No,Yes,No,4
37968,01-02-2014,01-10-2018,1703,Annual,1,Ganesh Agro Equipments,14-Aug-18,11,10,Rs. 10 - 25 Crore,Y,Manufacturer,Gujarat,251,38,9,3267,1212,294,185,146,1,0,1,0,337937.01,79650,India,Yes,No,No,No,No,No,2
42666,14-11-2008,01-10-2018,3608,Annual,1,Raghav Productivity Enhancers Limited,14-Aug-18,58,55,Rs. 50 - 100 Crore,Y,Manufacturer,Rajasthan,1498,148,36,2391,1210,478,334,13,0,0,21,0,3531549.22,967600,India,No,No,Yes,No,No,No,1
44358,21-11-2013,01-10-2018,1775,Annual,1,Atlas Engineering Company,14-Aug-18,343,156,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,2357,178,56,2251,997,1322,1049,509,143,119,20,0,1323578,680329,India,No,No,Yes,No,No,No,3
45642,12-03-2015,01-10-2018,1299,Annual,1,Sunrise Engitech Private Limited,14-Aug-18,25,21,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,866,150,35,1034,393,112,110,86,1,194,13,0,770853.21,489700,India,No,No,Yes,No,No,No,3
48310,27-04-2015,01-10-2018,1253,Annual,1,Modi Industries,14-Aug-18,400,318,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,4071,269,0,3509,215,51,44,15,0,0,15,1,2289400.02,1097400,Foreign,No,Yes,No,No,Yes,No,2
81085,22-12-2014,01-10-2018,1379,Annual,1,Glemtech Plast Private Limited,14-Aug-18,73,66,Rs. 1 - 2 Crore,Y,Manufacturer,Uttar Pradesh,1267,112,36,1561,448,2,2,0,0,0,21,0,1701720,897120,India,No,No,Yes,No,No,No,3
115475,03-05-2005,01-10-2018,4899,Annual,1,Rishabh Engineering Company,14-Aug-18,40,24,Rs. 10 - 25 Crore,Y,Manufacturer,Uttar Pradesh,3098,757,128,10116,4118,226,208,7,0,0,36,0,3313260.36,500320,India,No,No,Yes,No,No,No,3
141673,19-02-2015,01-10-2018,1320,Annual,1,Pioneer Tools & Hardware,14-Aug-18,107,119,Rs. 10 - 25 Crore,Y,Manufacturer,Tamil Nadu,699,49,0,1350,493,357,345,3,0,0,4,0,529565.2,203550,Local,No,No,Yes,No,Yes,No,3
147376,26-03-2008,01-10-2018,3841,Annual,1,Weather Junction,14-Aug-18,144,77,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,648,0,0,2180,1034,3,3,0,0,0,10,0,4073406.4,483800,India,No,No,Yes,No,No,No,4
148898,01-09-2016,01-10-2018,760,Annual,1,Lucknow Chikan House (Unit Of Intermesh Shopping Network Private Limited),14-Aug-18,92,40,Rs. 50 Lakh - 1 Crore,N,Manufacturer,Uttar Pradesh,332,50,1,1429,722,538,493,192,0,1,9,0,856735.5,59000,Global,No,No,No,No,Yes,No,1
149621,03-05-2011,01-10-2018,2708,Annual,1,Duex Industrial Systems,14-Aug-18,34,25,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,2304,243,31,1326,436,799,773,168,0,0,21,2,4130849.59,1142400,Global,No,No,Yes,No,No,No,2
150135,06-11-2014,01-10-2018,1425,Annual,1,Essen Engineers,14-Aug-18,71,52,Rs. 1 - 2 Crore,N,Manufacturer,Maharashtra,1133,65,11,716,121,277,262,15,0,0,9,1,1126286.63,442800,India,No,No,No,No,Yes,No,3
160311,03-05-2007,01-10-2018,4169,Monthly,0,Megatech International Private Limited,14-Aug-18,54,20,Rs. 50 - 100 Crore,Y,Exporter,Rajasthan,372,71,17,1920,652,28,27,13,1,0,13,0,100250,14000,Global,Yes,No,No,Yes,No,Yes,1
174697,06-12-2006,01-10-2018,4317,Annual,1,Neccon Power And Infra Limited,14-Aug-18,19,27,Rs. 50 - 100 Crore,Y,Manufacturer,Rajasthan,0,0,0,512,98,0,0,0,0,0,7,1,891159.31,477515.21,India,No,No,No,No,No,Yes,3
180330,14-01-2016,01-10-2018,991,Annual,1,Orione Hydropower,14-Aug-18,116,73,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,493,146,23,1064,448,3,3,0,0,6,10,0,1103973.94,458502,India,No,No,Yes,No,No,No,1
184579,28-07-2015,01-10-2018,1161,Annual,1,Mark Impex,14-Aug-18,42,23,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,341,29,4,730,276,2,2,1,0,0,7,0,1641782,1126782,India,No,No,Yes,No,No,No,1
221620,20-10-2010,01-10-2018,2903,Annual,1,Kunj International,14-Aug-18,114,127,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,3819,319,57,2356,955,8,7,0,0,0,8,0,5197149.5,118000,Global,No,No,No,Yes,No,No,3
224527,02-06-2010,01-10-2018,3043,Annual,1,Shriram Axiall Private Limited,14-Aug-18,28,7,Rs. 100 - 500 Crore,Y,Manufacturer,Rajasthan,191,27,0,147,56,138,135,26,1,11,10,0,1415219.02,962200,India,No,No,Yes,No,No,No,4
230847,28-03-2014,01-10-2018,1648,Annual,1,Hi Tech Pipes Limited,14-Aug-18,7,7,Rs. 500 - 1000 Crore,Y,Manufacturer,Delhi,842,178,42,404,173,4,4,0,0,0,9,0,1586384.5,123900,India,No,No,Yes,No,Yes,No,3
231946,25-11-2013,01-10-2018,1771,Monthly,0,Flour Tech Engineers Private Limited,14-Aug-18,115,114,Rs. 25 - 50 Crore,Y,Manufacturer,Haryana,2110,58,12,8945,2693,4,4,0,0,9,18,1,100250,14000,India,Yes,No,No,No,No,No,3
237686,08-05-2010,01-10-2018,3068,Annual,1,Dynamic Air Engineering (india) Pvt. Ltd.,14-Aug-18,38,27,Rs. 2 - 5 Crore,Y,Manufacturer,Tamil Nadu,335,0,0,390,67,0,0,0,0,0,5,0,868419.99,59000,India,No,Yes,No,No,Yes,No,2
280830,07-02-2008,01-10-2018,3889,Annual,1,HMG (India),14-Aug-18,122,127,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,4301,552,106,2739,1090,1219,1140,350,0,0,27,1,3931064.94,236000,Global,No,No,No,Yes,No,No,1
285127,23-10-2008,01-10-2018,3630,Annual,1,Industrial Minerals,14-Aug-18,38,54,Rs. 5 - 10 Crore,Y,Manufacturer,Maharashtra,760,10,0,815,295,8,8,2,0,3,7,0,2370267.74,177000,Global,No,No,Yes,No,No,No,1
285952,08-12-2014,01-10-2018,1393,Annual,1,Divyan Emulsichem,14-Aug-18,9,3,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,209,4,1,23,10,74,65,3,0,0,4,1,163026,94026,India,No,No,No,No,Yes,No,4
302838,10-04-2013,01-10-2018,2000,Annual,1,R. K. Engineering Enterprises,14-Aug-18,26,34,Rs. 5 - 10 Crore,Y,Manufacturer,Uttar Pradesh,533,12,0,4004,1657,237,176,3,0,0,2,0,701268.6,59000,India,No,No,No,No,Yes,No,3
318259,06-01-2016,01-10-2018,999,Annual,1,Ashapura Minechem Limited,14-Aug-18,32,29,Rs. 500 - 1000 Crore,Y,Manufacturer,Maharashtra,734,45,0,430,97,61,33,0,0,0,5,0,126500,29500,Foreign,Yes,No,No,No,No,No,2
402484,27-07-2007,01-10-2018,4084,Annual,1,SFM Agro Machineries Private Limited,14-Aug-18,39,29,Rs. 1 - 2 Crore,Y,Manufacturer,Gujarat,704,277,42,5792,2197,290,278,33,0,48,12,0,1501917.52,0,Global,No,No,Yes,No,No,No,4
410797,04-05-2012,01-10-2018,2341,Annual,1,Vrajesh Security Systems,14-Aug-18,219,125,Rs. 50 Lakh - 1 Crore,Y,Wholesale Trader,Gujarat,60,0,0,29,3,104,95,0,0,0,8,0,407502.8,1416,India,No,No,No,No,Yes,No,2
421115,14-06-2007,01-10-2018,4127,Annual,1,Powertek Equipment Company,14-Aug-18,108,53,Rs. 5 - 10 Crore,Y,Manufacturer,Maharashtra,2708,179,14,2441,1050,9,8,5,0,0,3,0,2808667.48,637200,India,No,No,Yes,No,No,No,4
430135,02-11-2009,01-10-2018,3255,Annual,1,Western Rubbers India Private Limited,14-Aug-18,78,55,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,126,0,0,196,35,3,3,0,0,0,3,0,591847.74,177000,India,No,Yes,No,No,Yes,No,1
430161,28-04-2009,01-10-2018,3443,Annual,1,Oceanic Cooling Towers Private Limited,14-Aug-18,36,21,Rs. 5 - 10 Crore,Y,Manufacturer,Uttar Pradesh,2859,179,27,539,258,76,73,25,0,7,11,0,2489774.35,579675,Global,No,No,Yes,No,No,No,4
438634,06-03-2010,01-10-2018,3131,Annual,1,E- Pack Polymers Private Limited,14-Aug-18,204,119,Rs. 500 - 1000 Crore,Y,Manufacturer,Delhi,4121,366,53,5749,2394,2,1,0,1,0,64,0,6510486.77,760730,India,No,No,No,Yes,No,No,1
440084,31-08-2010,01-10-2018,2953,Annual,1,DNG Technologies Private Limited,14-Aug-18,53,61,Rs. 2 - 5 Crore,Y,Manufacturer,Delhi,2321,97,17,1435,524,97,89,41,0,1,16,1,1218589.34,179700,Global,No,No,No,No,Yes,No,4
441094,28-05-2013,01-10-2018,1952,Annual,1,Royal Rubber & Plastic Products,14-Aug-18,20,18,Rs. 1 - 2 Crore,Y,Manufacturer,Tamil Nadu,308,0,0,199,88,7,7,0,0,0,4,0,359354.88,29500,India,Yes,No,No,No,No,No,2
460043,26-03-2016,01-10-2018,919,Annual,1,Bluberri Impex,14-Aug-18,171,58,Rs. 5 - 10 Crore,Y,Manufacturer,Tamil Nadu,821,55,6,1329,242,308,276,19,0,0,8,0,819862.49,177000,Global,No,Yes,No,No,No,No,4
462153,07-05-2012,01-10-2018,2338,Annual,1,G. M. Engineering Pvt. Ltd.,14-Aug-18,58,66,Rs. 50 - 100 Crore,Y,Manufacturer,Gujarat,1180,36,0,792,250,242,223,64,0,0,13,0,5431467.69,1053150,Global,No,No,Yes,No,No,No,1
465388,03-03-2012,01-10-2018,2403,Annual,1,Amson Engineering,14-Aug-18,81,45,Rs. 50 Lakh - 1 Crore,Y,Exporter,Maharashtra,138,0,0,460,203,24,23,0,0,0,11,0,1886114.41,118000,Global,No,Yes,No,No,No,No,3
468871,19-05-2014,01-10-2018,1596,Annual,1,Batavia Fabrics,14-Aug-18,33,34,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,329,0,0,1202,263,10,10,0,0,0,3,0,2333954.02,1097400,India,No,Yes,No,No,No,No,2
474623,05-08-2010,01-10-2018,2979,Annual,1,Brite Eye (Brand Of Minitec Systems),14-Aug-18,27,32,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Delhi,1210,15,3,1059,501,82,76,0,0,0,5,0,778114.01,0,India,No,No,Yes,No,No,No,4
483575,27-12-2013,01-10-2018,1739,Annual,1,Century Pharmaceuticals Limited,14-Aug-18,38,39,Rs. 100 - 500 Crore,Y,Manufacturer,Gujarat,1015,71,15,899,400,31,30,1,0,1,24,1,2102432.2,920400,Global,No,No,Yes,No,No,No,2
484441,26-09-2011,01-10-2018,2562,Annual,1,Brindavan Udyog (India),14-Aug-18,245,215,Rs. 5 - 10 Crore,Y,Manufacturer,Delhi,820,126,0,2132,1088,1297,1248,72,0,0,6,0,1120341.01,460200,India,No,No,Yes,No,No,No,2
494921,11-12-2015,01-10-2018,1025,Annual,1,Ethnic Kraft,14-Aug-18,55,41,Rs. 2 - 5 Crore,Y,Manufacturer,Delhi,47,0,0,721,241,26,24,0,0,0,7,0,1798037.51,59000,India,No,Yes,No,No,Yes,No,3
506964,28-07-2016,01-10-2018,795,Annual,1,Aesha Conveyors And Crushing Equipment,14-Aug-18,89,82,Rs. 5 - 10 Crore,Y,Manufacturer,Gujarat,518,131,34,1511,731,249,233,12,0,79,16,0,1400688.54,495600,Global,No,No,Yes,No,No,No,2
514515,04-10-2012,01-10-2018,2188,Annual,1,Nilkanth Engineering Works,14-Aug-18,48,23,Rs. 10 - 25 Crore,Y,Manufacturer,Gujarat,1709,168,50,1570,641,24,20,0,0,0,20,0,1641852.8,460200,Global,No,No,Yes,No,No,No,3
548826,17-11-2008,01-10-2018,3605,Annual,1,Precision Engineering Works India,14-Aug-18,18,13,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,West Bengal,399,0,0,182,85,29,27,0,0,0,9,1,1711350.23,83100,Global,No,No,No,No,Yes,No,4
561815,26-12-2014,01-10-2018,1375,Annual,1,Video Vision Metrology,14-Aug-18,17,6,Upto Rs. 50 Lakh,Y,Manufacturer,Karnataka,229,0,0,103,16,52,38,0,0,0,5,0,280181,29500,India,Yes,No,No,No,No,No,1
574260,24-05-2017,01-10-2018,495,Annual,1,Karma Group,14-Aug-18,800,57,Rs. 50 Lakh - 1 Crore,Y,Exporter,Delhi,290,12,12,1347,570,259,220,13,0,1,10,0,1447963.37,0,India,No,No,Yes,No,No,No,3
591095,24-04-2008,01-10-2018,3812,Annual,1,Airier Natura Private Limited,14-Aug-18,39,25,Rs. 10 - 25 Crore,Y,Manufacturer,Karnataka,1880,180,56,1082,410,29,29,13,0,7,24,0,3105058.85,193956,India,No,Yes,No,No,No,No,3
591786,07-12-2009,01-10-2018,3220,Annual,1,Shree Shantinath Enterprises,14-Aug-18,61,63,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Maharashtra,287,0,0,1979,766,21,16,4,1,0,21,0,3000179.1,578200,India,No,No,No,Yes,No,No,1
593169,04-07-2005,01-10-2018,4837,Annual,1,Badge Of Honour,14-Aug-18,354,57,Rs. 2 - 5 Crore,Y,Exporter,Uttar Pradesh,128,0,0,198,64,42,41,0,0,0,3,0,3629328.54,1203010,Foreign,No,No,Yes,No,No,No,4
621634,24-11-2008,01-10-2018,3598,Annual,1,Venu Healthcare,14-Aug-18,13,17,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,352,4,0,432,187,8,8,0,0,0,5,0,1466954.94,0,India,No,No,Yes,No,No,No,3
624265,22-07-2009,01-10-2018,3358,Annual,1,Life Support Systems,14-Aug-18,40,38,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Maharashtra,446,24,0,1171,471,1,1,0,1,0,15,0,2867403.58,1434548,Global,No,No,Yes,No,No,No,2
640018,30-07-2001,01-10-2018,6272,Annual,1,Gupta Textiles,14-Aug-18,75,40,Rs. 10 - 25 Crore,Y,Exporter,Haryana,244,79,12,334,167,21,18,15,0,2,7,0,665976.42,59000,Global,No,No,No,No,Yes,No,1
652623,12-06-2013,01-10-2018,1937,Annual,1,Sugam Engineers,14-Aug-18,29,36,Rs. 10 - 25 Crore,Y,Manufacturer,Karnataka,381,62,6,670,206,80,77,1,0,19,27,0,2602591.22,1096120,India,No,No,Yes,No,No,No,2
657316,07-05-2015,01-10-2018,1243,Annual,1,National Equipment Company,14-Aug-18,71,86,Rs. 2 - 5 Crore,Y,Manufacturer,Tamil Nadu,2269,310,0,5662,1680,1133,1043,0,0,0,13,0,988240,0,Foreign,No,No,Yes,No,No,No,1
665421,01-08-2007,01-10-2018,4079,Annual,1,Gifts And Promos World Wide,14-Aug-18,138,122,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,294,12,0,600,146,88,79,13,2,42,3,0,1157015.72,177000,Local,No,Yes,No,No,No,No,3
677480,24-12-2014,01-10-2018,1377,Annual,1,Veera Trading Company,14-Aug-18,13,14,Rs. 50 Lakh - 1 Crore,Y,Wholesaler,Delhi,296,34,0,485,208,8,8,0,0,0,8,0,169000.01,92275,Local,No,No,No,No,Yes,No,2
677576,04-08-2008,01-10-2018,3710,Annual,1,DRS Energy Private Limited,14-Aug-18,159,165,Rs. 2 - 5 Crore,Y,Manufacturer,Uttar Pradesh,741,6,4,2043,989,30,30,6,3,2,19,0,2334999.41,237416,India,No,No,No,Yes,No,No,4
678702,17-10-2008,01-10-2018,3636,Annual,1,Innovative Automation Private Limited,14-Aug-18,33,43,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,1000,262,76,997,453,700,680,225,5,336,15,0,1949355.98,951476,India,No,No,Yes,No,No,No,3
692636,15-12-2010,01-10-2018,2847,Annual,1,Hitone Trading & Mfg. Co.,14-Aug-18,207,83,Rs. 5 - 10 Crore,Y,Manufacturer,Delhi,1120,202,27,6702,2547,735,698,153,0,1,36,4,807918.2,495600,India,No,No,Yes,No,No,No,2
693107,31-12-2015,01-10-2018,1005,Annual,1,Kanswa Thermoflex,14-Aug-18,21,24,Rs. 2 - 5 Crore,Y,Manufacturer,Haryana,1284,117,24,832,339,424,284,1,0,0,11,0,572923.25,332912,India,Yes,No,No,No,No,No,2
707951,21-09-2009,01-10-2018,3297,Annual,1,United Hydraulic Control,14-Aug-18,36,42,Rs. 5 - 10 Crore,Y,Manufacturer,Gujarat,987,290,91,1045,452,72,68,55,0,0,2,0,1583032.06,621270,India,No,No,Yes,No,No,No,4
708837,30-08-2008,01-10-2018,3684,Monthly,0,Mcon Conveyors Private Limited,14-Aug-18,29,24,Rs. 50 - 100 Crore,Y,Manufacturer,Maharashtra,804,66,20,95,28,10,10,2,0,0,2,0,100250,14000,Global,Yes,No,No,No,Yes,No,4
715200,30-05-2012,01-10-2018,2315,Annual,1,Think Fashion Private Limited,14-Aug-18,61,69,Rs. 5 - 10 Crore,Y,100% Export Oriented Unit,Delhi,535,0,0,178,41,62,57,0,0,0,2,0,1591541.94,177000,Foreign,No,Yes,No,No,No,No,4
732803,23-04-2018,01-10-2018,161,Annual,1,Finebearing Co.,14-Aug-18,41,98,Rs. 2 - 5 Crore,Y,Manufacturer,Tamil Nadu,385,148,26,524,288,31,29,17,0,1,8,1,712039.8,159300,Global,No,No,No,No,Yes,No,1
740395,06-01-2018,01-10-2018,268,Annual,1,Creative Krafts,14-Aug-18,65,23,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Tamil Nadu,500,0,0,1048,483,440,375,5,0,0,14,0,488530.61,286150,India,No,No,No,No,Yes,No,2
742246,20-07-2011,01-10-2018,2630,Annual,1,Silverline Marketing,14-Aug-18,30,26,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,2059,162,18,2459,983,9,9,1,0,0,10,0,1547537.19,369000,Global,No,Yes,No,No,No,No,1
757681,07-06-2014,01-10-2018,1577,Annual,1,Unique Welding Products Pvt. Ltd.,14-Aug-18,13,10,Rs. 10 - 25 Crore,Y,Manufacturer,Gujarat,541,15,2,570,216,32,22,0,0,0,7,0,1122430.25,123900,India,No,No,Yes,No,No,No,1
758533,13-02-2012,01-10-2018,2422,Annual,1,Kalia Enterprises,14-Aug-18,154,44,Rs. 2 - 5 Crore,Y,Manufacturer,Uttar Pradesh,1174,64,3,631,196,33,32,2,0,0,1,0,918408.51,177000,Local,No,Yes,No,No,No,No,4
771726,17-05-2012,01-10-2018,2328,Annual,1,Siddhi Engineers,14-Aug-18,31,23,Rs. 5 - 10 Crore,Y,Manufacturer,Gujarat,256,4,0,370,141,0,0,0,4,1,4,0,365732.8,56050,India,No,No,No,No,Yes,No,3
778191,11-06-2014,01-10-2018,1573,Annual,1,N. N. Electronics,14-Aug-18,19,21,Rs. 2 - 5 Crore,Y,Manufacturer,Delhi,20,3,0,605,57,103,95,17,0,0,11,0,669354.21,236000,India,No,Yes,No,No,Yes,No,3
791053,12-07-2011,01-10-2018,2638,Annual,1,Process Instrumentation & Controls,14-Aug-18,66,54,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,3489,378,46,2776,1157,6509,4299,956,0,2,13,1,1497989.54,135700,Global,No,No,Yes,No,No,No,2
820134,24-07-2018,01-10-2018,69,Monthly,1,Uniphil International,14-Aug-18,115,31,Rs. 10 - 25 Crore,Y,Manufacturer,Delhi,427,28,14,1364,513,159,150,26,0,0,11,0,100250,14000,India,Yes,No,No,No,No,No,2
868569,25-10-2008,01-10-2018,3628,Annual,1,Expanda Stand Private Limited,14-Aug-18,37,51,Rs. 10 - 25 Crore,Y,Manufacturer,Tamil Nadu,2095,74,21,2552,1052,50,50,15,0,0,17,0,3832399.81,247800,India,No,No,Yes,No,No,No,4
881850,23-06-2015,01-10-2018,1196,Annual,1,Amit Metals,14-Aug-18,23,42,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,1284,124,22,1800,933,243,124,46,0,0,16,1,636810.9,0,India,No,No,Yes,No,No,No,1
891416,09-10-2012,01-10-2018,2183,Annual,1,Epcoat Surface Systems,14-Aug-18,48,45,Rs. 25 - 50 Crore,Y,Service Provider,Maharashtra,550,7,0,981,274,10,10,0,1,0,8,0,1311789.64,460200,India,No,No,Yes,No,No,No,1
891912,30-12-2010,01-10-2018,2832,Annual,1,New Delta International,14-Aug-18,168,165,Rs. 2 - 5 Crore,Y,Wholesale Trader,Delhi,2217,226,70,2596,1090,26,25,5,0,0,25,1,2173487.22,643360,Local,No,No,Yes,No,No,No,2
900551,03-09-2010,01-10-2018,2950,Annual,1,Sigma Hoist Company Private Limited,14-Aug-18,17,12,Rs. 2 - 5 Crore,Y,Manufacturer,Karnataka,521,58,8,228,96,1,1,1,0,48,3,0,3048795.1,1069044.5,Local,No,No,Yes,No,No,No,3
906281,26-03-2010,01-10-2018,3111,Annual,1,Apollo Machinery,14-Aug-18,37,12,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,1090,283,28,196,110,39,39,35,4,3,12,0,2576142.5,1448144,India,No,No,Yes,No,No,No,4
925184,17-09-2011,01-10-2018,2571,Annual,1,FICCI Research & Analysis Centre,14-Aug-18,152,52,Rs. 5 - 10 Crore,Y,Service Provider,Delhi,749,0,0,1514,534,166,162,37,0,0,6,0,640616.21,0,India,No,No,Yes,No,No,No,4
934257,02-03-2012,01-10-2018,2404,Annual,1,Khushi Engineers,14-Aug-18,24,35,Rs. 1 - 2 Crore,Y,Manufacturer,Maharashtra,876,2,0,214,64,48,45,0,0,0,3,0,2533704.86,177000,Local,No,Yes,No,No,No,No,4
948192,07-03-2011,01-10-2018,2765,Annual,1,Shiv Safety Solutions,14-Aug-18,76,98,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,625,96,47,1723,509,78,71,15,0,0,20,0,3447822.62,1416,India,No,No,Yes,No,No,No,3
953857,08-05-2015,01-10-2018,1242,Annual,1,Decora Kitchen Interiors Pvt. Ltd.,14-Aug-18,39,14,Rs. 5 - 10 Crore,Y,Exporter,Haryana,225,0,0,427,166,0,0,0,0,0,3,0,1329095.6,79650,India,Yes,No,No,No,No,No,1
956498,25-06-2011,01-10-2018,2655,Annual,1,Effem Technologies,14-Aug-18,87,128,Rs. 2 - 5 Crore,Y,Exporter,Delhi,586,17,0,643,219,77,75,18,0,0,11,0,1108454.77,291756.52,India,No,No,Yes,No,Yes,No,4
966201,19-08-2009,01-10-2018,3330,Annual,1,M/S Ganga Prasad Puneet Kumar,14-Aug-18,59,60,Rs. 2 - 5 Crore,Y,Manufacturer,Haryana,263,0,0,946,223,12,11,0,0,0,21,0,34460104.82,923232,India,No,No,Yes,No,No,No,1
972954,17-09-2010,01-10-2018,2936,Annual,1,Svs Hydraulics Private Limited,14-Aug-18,50,34,Rs. 5 - 10 Crore,Y,Manufacturer,Telangana,125,0,0,578,192,6,5,0,0,0,5,0,433149.12,116230,India,No,No,No,No,Yes,No,4
977676,19-01-2011,01-10-2018,2812,Annual,1,Reliable Power Systems,14-Aug-18,23,34,Rs. 2 - 5 Crore,Y,Exporter,Haryana,1686,255,42,1246,628,47,45,3,5,37,13,0,3889074.31,1097400,India,No,No,Yes,No,No,No,2
1000789,01-09-2014,01-10-2018,1491,Annual,1,Khushika Fashion (Talrejas Group),14-Aug-18,347,66,Rs. 2 - 5 Crore,Y,Manufacturer,Gujarat,3238,380,52,4222,1898,8654,7596,2149,1120,100,33,0,1847925.23,462860,India,No,No,Yes,No,No,No,2
1013527,12-06-2015,01-10-2018,1207,Annual,1,Kohinoor Proofing Industries,14-Aug-18,9,15,Rs. 25 - 50 Crore,Y,Manufacturer,Maharashtra,102,30,4,1064,511,85,78,42,3,3,3,0,1138072,789420,India,No,No,Yes,No,No,No,4
1018603,30-03-2009,01-10-2018,3472,Annual,1,Modern Apparels,14-Aug-18,41,35,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,3495,401,62,1256,537,49,39,2,0,0,11,0,4063891.86,1794780,Global,No,No,Yes,No,No,No,1
1020753,08-06-2010,01-10-2018,3037,Annual,1,Jubilance Business Solutions Private Limited,14-Aug-18,20,12,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Uttar Pradesh,395,0,0,106,9,0,0,0,0,0,9,2,1160159.1,25310,Local,Yes,No,No,No,No,No,1
1032328,30-12-2016,01-10-2018,640,Annual,1,Super Steam Boiler Engineers Pvt. Ltd.,14-Aug-18,56,41,Rs. 50 - 100 Crore,Y,Manufacturer,Maharashtra,91,0,0,316,40,7,7,0,0,0,5,0,357618,59000,India,No,Yes,No,No,No,No,3
1051054,30-04-2015,01-10-2018,1250,Annual,1,Kairav Chemofarbe Industries Limited,14-Aug-18,10,12,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,62,0,0,167,65,3,3,0,0,0,7,0,699890.01,1416,India,No,No,No,No,Yes,No,3
1073364,05-04-2010,01-10-2018,3101,Annual,1,Plasto Rubber Industries (Unit Of M/S Castor Concepts India),14-Aug-18,40,25,Rs. 2 - 5 Crore,Y,Manufacturer,Rajasthan,594,116,20,221,98,12,11,1,0,0,12,1,998316.55,156416,India,No,Yes,No,No,No,No,2
1077940,06-02-2009,01-10-2018,3524,Annual,1,Unique Udyog,14-Aug-18,27,39,Rs. 10 - 25 Crore,Y,Manufacturer,Maharashtra,3421,649,106,2466,1555,486,454,25,0,0,10,0,3406481.91,0,India,No,No,Yes,No,No,No,2
1106662,01-05-2014,01-10-2018,1614,Annual,1,Focusun Energy Systems,14-Aug-18,65,44,Rs. 5 - 10 Crore,Y,Manufacturer,Tamil Nadu,2751,160,29,2669,1138,484,455,111,0,0,37,0,3122874.01,920400,Local,No,No,Yes,No,No,No,3
1135120,16-05-2017,01-10-2018,503,Annual,1,Straptex India Private Limited,14-Aug-18,30,30,Rs. 5 - 10 Crore,Y,Manufacturer,Maharashtra,45,0,0,471,154,1,1,0,0,0,10,0,559100,182900,India,No,Yes,No,No,No,No,3
1143403,17-06-2015,01-10-2018,1202,Annual,1,Safex Hygiene Care,14-Aug-18,41,18,Rs. 50 Lakh - 1 Crore,Y,Manufacturer,Tamil Nadu,160,0,0,653,256,19,14,0,0,0,11,0,369000.03,0,Local,No,No,No,No,Yes,No,2
